Target_ID,Is_Member,Poison_Increase,Recovery_Drop,Overall_Trend
0,True,0.00122705158338171,0.0012217359424697514,-0.0014149980897471973
1,True,0.004196274102023555,0.000252959556500499,-0.001009042225270918
2,False,0.0021661851525631892,0.0005545565470896744,0.0005472440261183483
3,False,0.002654403378952178,0.0006943740397014757,0.0008379606314253839
4,False,0.0005303255424238926,0.00019892661689665066,-0.00042920993678803045
5,True,0.004320080889762429,0.002924251292089033,-0.00577270813073079
6,False,0.0015822739930645279,0.000367430212927977,0.0004896108293970373
7,True,0.017541987608394483,0.004389183643679258,0.005294982113086934
8,True,0.015068887846333107,0.005106182859169577,-0.003415228188385688
9,True,0.006377074394599349,0.000988268248352618,0.0012404704431786553
